Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Angevin (Plantegenet) Empire,1144,,1144,,1172,1204,,1204,60-60 years,60,Empire,Kingdom,Western Europe,Angers,Power (2016),Invasion by Philip Augustus of the Capetians 1204 CE,,,"Described by some historians as ""Plantegenet zone"" rather than a coherent empire (e.g. Holt 1975) - Empire had no contemporary name and provincial Identities were strong.",,,,,,,,,,,,,FALSE
Almohad Empire,1148,,1148,,,1212,1269,1240.5,64-121 years,92.5,Empire,Caliphate,Western Asia,"Marrakesh (1148–1269), In Al-Andalus: Seville (1147–1162), Córdoba (1162–1163), Seville (1163–1248)[3]","Taagepera (1997), Dates and cause of collapse/transformation from Bennison (2016)",Marrakesh taken by the Marinids in 1269,Decline/ prolonged collapse following Almohad defeat in Al-Andalus at Las Navas de Tolosa in 1212.,,,,,,Africa,,Marrakesh (1147–1269),31.63,-8.008888889,,,,,FALSE
Kakatiya Kingdom,1150,,1150,,1200,1323,,1323,173-173 years,173,Kingdom,unknown,Southern Asia,Warangal,Harijan (2016),"Defeat by Ulugh Khan (on behalf of the Sultan of Delhi), subsequent death of Pratap Rudradeva caused kingdom to whither and be annexed by the Delhi Sultanate",,,,,,,,,,,,,,,,FALSE
Ghurid Sultanate,1150,,1150,,1190,1222,,1222,72-72 years,72,Empire,Sultanate,Southern Asia,Firuzkuh (Summer capital),Thomas (2016),Number of defeats (beginning at the turn of the 12th/13th century) to become suzerains the Khwarazm-shah then Firuzkuh beseiged by the Mongol army (1222),Lack of political flexibility; attempted to maintain tribal structure of horizontal rather than vertical principles of succession which perpetuated military and political fragility. Ultimately insufficient political ideology to secure unity at home and abroad.,,Formation date based on the rise to prominence of the Shansabanid clan,,,,,,,,,,,,,FALSE
Mossi Empire (Mossi Kingdoms),1170,,1170,,,1896,,1896,726-726 years,726,Empire,unknown,Western Africa,,Djata (2016).,Capital conquered by the French and came under French 'indirect rule' in 1896,,,Start date very unclear,,,,,,,,,,,,,FALSE
Ayyubid Sultanate of Egypt,1171,,1171,,,1250,,1250,79-79 years,79,Empire,unknown,Northern Africa,Cairo,Amitai (2016),Defeated by then Mamluks,Rulers dependent on slave soldiers (Mamluks). The Egyptian Sultan al-Malik al Salih Ayyubid (r.1240-1249) increased the number of Mamluks.,,,,,,,,,,,,,,,FALSE
Bulgarian Medieval Empire II,1185,,1185,,,1422,,1422,237-237 years,237,Empire,unknown,Eastern Europe,,Angelov (2016),Conquered by Ottomans,,,,,,,,,,,,,,,,FALSE
Kamakura Shogunate,1185,,1185,,1225,1333,,1333,148-148 years,148,Empire,Shogunate,South-Eastern Asia,Kyoto,Seshat (2020),Overthrow of the Shogunate and restoration of Emperor Go-Daigo.,,,,Continous with the Heian Period?,Kyoto,35.01166667,Asia,135.7683333,,,,,,,,FALSE
Hoysala Empire,1191,,1191,,1225,1346,,1346,155-155 years,155,Empire,unknown,Southern Asia,"Sosavur, Dvarasamudram, Kannanur",Seshat (2020). State formation begins with independence from the Chalukya Empire. Verified with Dalziel (2016),Fell with the death of death of Emperor Vira Virupaksha Ballala and invasions by the Delhi Sultanate from the North.,,,,,Sosavur (modern day Agadi),9.366667,Asia,76.75,Dvarasamudram (modern dat Halebid),13.2157,75.9914,Kannanur Kuppam (near modern day Srirangam),10.87,78.68,,FALSE
Mongol-Yüan,1200,1206,1203,,1309,1310,1368,1339,104-168 years,136,Confederacy,Khaganate,Eastern Asia,"Karakorum,  Khanbaliq (Beijing) Shangdu (summer capital)","Taagepera (1997) , later state formation and end dates from Seshat (2020). Note on Cup D'Etat from Lane (2016)","Break-up from 1310 onwards (into four khanates: the Golden Horde in Russia, the Chagatai Khanate in Central Asia, the Great Yuan in China and the Ilkhanate in Iran and Iraq), resulting in collapse in 1400.",,,"Unification of Mongolia occurs in 1206  . This entry includes the 'Great Yuan', which was a continuation of the Mongol Empire. The beginning date for the Juan dynasty is around 1271-1279 (Wilkinson 2018; Qui 1998). Coup D'etat by Mongke Khan in 1249, resulted in a cultural, political, and ideological transformation of the ruling Chinggisid elite (Lane 2016).",,Karakorum,47.210278,Asia,102.847778,Khanbaliq,39.91666667,116.3833333,Shangdu (summer capital),42.24172778,115.9925333,,FALSE
Kaabu Kingdom,1200,1537,1368.5,,,,1867,1867,330-667 years,498.5,Kingdom,unknown,Western Africa,Kansala,Fall (2016),Defeated in the battle of Kansala by the Fula and Balanta,Underlying continuing decline and internal divisions in the Kaabu,,"Early formation date: state formation began in the 13th century (Based on oral tradition, linguistics and archaeolgoy). Late formation date: Kaabu independence from the Mali Empire in 1537.",,,,,,,,,,,,,FALSE
Kingdom of Mapungubwe,1200,,1200,,,1280,,1280,80-80 years,80,Kingdom,unknown,Southern Africa,Mapungubwe,Pikirayi (2013),,,,,,Mapungubwe,,,,,,,,,,,FALSE
Latin Empire (Constantinople),1204,,1204,,,1261,,1261,57-57 years,57,Empire,unknown,Western Asia,Constantinople,Burkhardt (2016),Constantinople conquered by the Nicean Empire in 1261,,,Territory decreasing from 1224 until Latin 'Empire' consisted only of Constantinople.,,,,,,,,,,,,,FALSE
Marinid Empire,1212,1269,1240.5,,,1465,,1465,196-253 years,224.5,Empire,Caliphate,Northern Africa,Fes,"Bennison (2016), end date and cause of transformation from Boum (2016)",Rebellion against the Marinid Sultan ?Abdulhaq - a reaction against apparent inability of Marinid Empire to stop Christian Protuguese and Spanish expansion into Moroccan territories,Portuguese military conquest in Morocco began in 1415 when the Portuguese captured the important port of Cueta,,Almohad defeat in al-Andalus offered opportunity for Marinid to become expansionist. Marinids took Marrakesh in 1269,,,,,,,,,,,,,FALSE
Majapahit Kingdom,1219,1293,1256,,1389,1518,1528,1523,225-309 years,267,Kingdom,unknown,South-Eastern Asia,Trowulan,"Seshat (2020), proximate cause of collapse , early start date and late start date from Hall (2016)","Lost trade to Java, independent ports controlled by Sulatns and Melakka",,,Loose degree of centralisation.,Elite migration from the Singhasari Kingdom/.,Trowulan,-7.541888889,Asia,112.3909833,,,,,,,,FALSE
Singhasari Kingdom (Java Kingdom),1222,,1222,,,,1292,1292,70-70 years,70,Kingdom,unknown,South-Eastern Asia,Tumapel (modern day Malang),Hall (2016),Rebellion (Raden Wijija) and Mongol invasion.,,,,,,,,,,,,,,,,FALSE
White Horde (Easter Wing of Golden Horde),1223,,1223,,,,1451,1451,228-228 years,228,Confederacy,Khaganate,Central Asia,,May (2016),Invasion by Mongols.,,,,,,,,,,,,,,,,FALSE
Hasfid Sultanate,1228,,1228,,,,1574,1574,346-346 years,346,Empire,Sultanate,Northern Africa,,Amara (2016),Became subject to Spanish and Ottoman imperial designs in the early  16th century,,,"Periods of loss of power during 14th century (1331-1360) to the expanding Merinid, encouraged by the death of Abu Faris (date?) and fragmentation of Ifriqiya between elements of the Hasfid dynasty (1356).",,,,,,,,,,,,,FALSE
Mali,1230,1250,1240,,1312,1410,1650,1530,160-420 years,290,Empire,unknown,Western Africa,Niani,"Taagepera (1997) , early state formation and end dates from Seshat (2020). Late end date and proximate and underlying causes of collapse from Sapong (2016)",Rise of Songhai and the Bambara states reduced empire to original size in the Niger valley,Succession disputes - ruling house came to be divided between the descendants of Sundiata and his younger brother - encouraged invaders,,,,Niani,11.379722,Africa,-8.384167,,,,,,,,FALSE
"Agevin Empire (French ""Second"" Angevin Dynasty)",1246,,1246,,1268,1480,,1480,234-234 years,234,Empire,Kingdom,Southern Europe,,Drendel (2016),Absorbed by the Kingdom of France upon death of Rene of Anjou (1480),,,Loss of territory over time: East Half of Provence lost to Savoy after 1388 CE Revolt and Naples lost to the Aragonese in 1438 CE.,,,,,,,,,,,,,FALSE
Ilkhanate,1250,1310,1280,,1310,1335,1370,1352.5,25-120 years,72.5,Confederacy,Khaganate,Western Asia,"Maragheh (1256–1265), Tabriz (1265–1306), Soltaniyeh (1306–1335)","Taagepera (1997), early state end from Seshat (2020) , late end date and cause of collapse/transformation from Biran (2016)",No immediate heir upon Abu Sa'id's death (1335); Il-Khanate divided up among various competing polities,,,Autonomous in 1250   and independent in 1310  .,,Maragheh,37.38916667,Asia,46.2375,Tabriz,38.066667,46.3,Soltaniyeh,36.43472222,48.7975,,FALSE
Inca/Inka,1250,1375,1312.5,,1525,1532,1535,1533.5,157-285 years,221,Empire,unknown,South America,Cusco,"Taagepera (1997) , peak, late state formation and end dates from Seshat (2020), underlying cause of collapse (Williams 2016)",Spanish conquest.,Succession dispute following the death of Huayna Capac from smallpox (1527). Civil war until 1532 when Atahualpa captured Huascar. Atahualpa killed by Spanish before he could take the throne,,,,Cusco,-13.525,S.America,-71.97222222,,,,,,,,FALSE
Ajuran Sultanate,1250,,1250,,,1600,1700,1650,350-450 years,400,Confederacy,Sultanate,Eastern Africa,Marka (Merca),Haji Mukhtar (2016),Number of rebellions within the confederacy in 17th century,"High taxes, discriminatory water rights and authoritarian/ oppresive leadership as ultimate cause for rebellions",,Popular accounts give reason for Ajuran decline due to the abandonment of the laws of Islam; excessive arrogance and unbearable tyranny,,Marka (Merca),,,,,,,,,,,FALSE
Mamluk Sultanate,1250,,1250,,,1517,,1517,267-267 years,267,Empire,Sultanate,Northern Africa,Cairo,Amitai (2016),Defeated by Ottoman empire,,,,,,,,,,,,,,,,FALSE
Lithuania-Poland,1253,1520,1386.5,,1650,1795,1795,1795,275-542 years,408.5,Kingdom,unknown,Eastern Europe,"Kraków 1569–1793), Warsaw (1793–1795)","Taagepera (1997), early start date from Norkus (2016). Note on Lithuania-Poland union dates from Nowak (2016)",,,,"Lithuania unified in 1263 and Lithuanian-Polish union formed in 1520. Nowak (2016) states that Lithuania-Poland union was confirmed in 1385 (this could be the late start date), but strongest after wars with Russia at the end of the 15th/start of 16th century",,Kraków,50.06138889,Europe,19.93722222,Warsaw,52.23333333,21.01666667,,,,,FALSE
Ternate (Gapi) Sultanate,1257,1511,1384,,,,1679,1679,168-422 years,295,Empire,Sultanate,South-Eastern Asia,Termate,Encyclopedia of Empire (2016),"Conquered by the Dutch. Continues today, but in name only.",Conquest.,,Early start date taken from the reign of Mimole Cico (first ruler). Later date from when Islam became widespread and adopted.,,,,,,,,,,,,,FALSE
Chagatai (Chaghadai) Khanate,1263,1310,1286.5,,1350,1334,1390,1362,24-127 years,75.5,Confederacy,Khaganate,Western Asia,"Almaliq, Qarshi","Taagepera (1997), early state formation and end from Seshat (2020). Notes on early end date from Lane (2016).",Conquered by Timur.,,,Autonomous in 1260 with formal independence in 1310. Early end date refers to death of Tarmashirin (1334) after which followed a confused period in which power khans and amirs and east and west Turkestan.,,Almaliq (near modern day Huocheng County),44.01,Asia,80.807778,Qarshi,38.866667,65.8,,,,,FALSE
Grand Duchy of Moscow,1263,1489,1376,,,1547,1547,1547,58-284 years,171,Empire,unknown,Eastern Europe,Moscow,Langer (2016).,,,,,,,,,,,,,,,,,FALSE
Golden Horde,1267,1310,1288.5,,1310,1400,1552,1476,90-285 years,187.5,Confederacy,Khaganate,Eastern Europe,Sarai Batu (Russia),"Taagepera (1997) , Vasary (2016) for early start date and notes.","Muscovy conquest in 1552. Timur conquest in 1400, but recovered thereafter. Fell into anarchy for 20 years (1359-1380CE) after the murder of Berdibek (r.1357-1359).",,,Early formation date (1267CE) refers to the beginning of the reign of Mengu-Temur Khan and the beginning of de jure indepence of the golden horde,,Sarai Batu (Russia) (near modern day Selitrennoye),47.166667,Europe,47.45,,,,,,,,FALSE
Kingdom of Zimbabwe,1270,,1270,,,1550,,1550,280-280 years,280,Kingdom,unknown,Southern Africa,Great Zimbawbwe,Pikirayi (2013),,,,,,Great Zimbabwe,,,,,,,,,,,FALSE
Austrian Empire (to 1867) / Habsburg Monarchy,1273,,1273,,1526,1867,,1867,594-594 years,594,Empire,Kingdom,Western Europe,Vienna,Vushko (2016),"Created Austro-Hungary, a federalist state consisting of two polities",Lost the war against Prussia resulting in crisis across Austrian Empire,,,,,,,,,,,,,,,FALSE
Sultanate of Ifat,1285,,1285,,,1329,1332,1330.5,44-47 years,45.5,Empire,Sultanate,Eastern Africa,,Hassen (2016),Annexed by the Christian Kingdom in 1329. Rebellion by Sabradin 1332 but quickly defeated by Amda-Siyon of the Christian Kingdom.,,,,,,,,,,,,,,,,FALSE
Switzerland,1291,1816,1553.5,,,,2016,2016,200-725 years,462.5,Nation state,unknown,Western Europe,,Correlates of War (2020),,,Creation of the Federal Charter in 1291 has been used at the low state formation date. This seems more appropriate than the arbitary 1816 date from CoW. Another high formation date could be 1648 (the Treaty of Westphalia).,,,Bern,46.91666667,Europe,7.466667,,,,,,,,TRUE
Oyo (Yoruba) Empire,1300,1400,1350,,,1800,1810,1805,400-510 years,455,Empire,unknown,Western Africa,Oyo-Ile,Ogen (2016).,"Defeated by the joint forces of Afonja and Fulani Jihadists ""in about the first decade of the 19th century""","Cut off from Northern markets by Borgu and Nupe in 1790s, preventing the Oyo from purchasing horses, which formed the backbone of their military.",,"Start date: ""The empire was established in about the 14th century"" (:1)",,,,,,,,,,,,,FALSE
Tarascan (P'urhépecha) Empire,1300,1380,1340,,,1522,,1522,142-222 years,182,Empire,unknown,Central America,Tzintzuntzan,Roskamp (2016),Colonisation by European Conquistadors (negotiated surrender with the Spanish).,,,,,,,,,,,,,,,,FALSE
Ottoman Empire,1301,1307,1304,,1570,1921,1923,1922,614-622 years,618,Empire,unknown,Western Asia,"Sö?üt (c. 1299–1335), Bursa (1335–1363), Adrianople (Edirne) (1363–1453), Constantinople (present-day Istanbul) (1453–1922)","Taagepera (1997) , early start date and peak power date from Ozok-Gundogan (2016)",Defeat in World War I.,,,Territorial expansion begins with the seige of Byzantine Nicea in 1301.,,Sö?üt,40.01861111,Asia,30.18138889,Bursa,40.18333333,29.05,Adrianople (Edirne) (1363–1453),41.66666667,26.56666667,,FALSE
Valois Dynasty,1328,,1328,,1515,1589,,1589,261-261 years,261,Kingdom,Dynasty,Western Europe,Paris,Seshat (2020),Death of the childless Henry III led to the House of Bourbon seizing power.,,Transformation?,Combination of the early and late Valois.,Continous with Capetian.,Paris,48.856613,Europe,2.352222,,,,,,,,FALSE
Vijayanagara Empire,1336,1340,1338,,1505,1646,,1646,306-310 years,308,Empire,unknown,Southern Asia,"Vijayanagara, Penukonda, Chandraigiri","Seshat (2020), Bridges (2016).",,,,"Composed of four dynasties: Sangama (1336–1485), Saluva (1485–1505), Tuluva (1505–1565), and Aravidu (1565–1664).",,Vijayanagara,15.325,Asia,76.465,Penukonda,14.085,77.596,Chandraigiri,13.5833,79.3167,,FALSE
Ashikaga Shogunate,1336,,1336,,1368,1467,,1467,131-131 years,131,Empire,Shogunate,Eastern Asia,Kyoto,Seshat (2020),Ends with the Onin War.,,,,Continous with Kamakura?,Kyoto,35.01166667,Asia,135.7683333,,,,,,,,FALSE
Ak-Koyunlu/Aq Qoyunlu/Turkoman Confederations,1339,,1339,,,1501,,1501,162-162 years,162,Confederacy,unknown,Western Asia,"Amed, Tabriz","Seshat (2020), dates verified with Lane (2016).","Conquered by the Safavid Empire coupled with elite fragmentation, as well as unrest and rebellion.",,,,,Amed,37.91,Asia,40.24,Tabriz,38.066667,46.3,,,,,FALSE
Sind - Samma Dynasty,1340,,1340,,1486,1519,,1519,179-179 years,179,Empire,Imperial Dynasty,Southern Asia,"Sindhi, Punjabi",Seshat (2020),Conquered by Shah Begh Argun and then Mughal founders.,,,,,Sindhi,25.895725,Asia,68.52457222,"Punjabi (unknown, this may be an error in Seshat since the dynasty covered many parts of Punjab)",,,,,,,FALSE
Serbian Empire,1346,,1346,,,,1355,1355,9-9 years,9,Empire,unknown,Eastern Europe,Skopje,Encyclopedia of Empire (2016),Conflict succession after the death of Stefan Duzan in 1355; elite competition between princes.,"Disintegration of the empire began after Mahendrapala for various reasons: Mostly growing powers of fuedatories but also, weak successors, disputed succession, lack
of foresight, and poor diplomacy.",,,,,,,,,,,,,,,FALSE
Bahmani Sultanate,1347,,1347,,,1538,,1538,191-191 years,191,Empire,Sultanate,Southern Asia,"Gulbarga-Ahsanabad, Bidar-Muhammadabad",Fischel (2016),"Sultanate broke up into component sultanates ""the Deccan Sultanates""",Death of leader Muhammad III in 1482 led to greater factional conflicts leading to the disintegration of the Sultanate,,,,,,,,,,,,,,,FALSE
Ayutthaya,1350,1593,1471.5,,1733,1767,,1767,174-417 years,295.5,Kingdom,unknown,South-Eastern Asia,Ayutthaya,"Seshat (2020), Peleggi (2016) for early state formation.",Captured and destroyed by the Burmese.,"Elite competition, Elites failed to support the war effort against the Burmese.",,,,Ayutthaya,14.34777778,Asia,100.5605556,,,,,,,,FALSE
Kingdom of Kongo,1350,,1350,,,1700,,1700,350-350 years,350,Kingdom,unknown,Middle Africa,Mbanzakongo,Saidi (2016),Loss of revenue meant government no longer able to maintain control,Kongo ended up on the periphery of major trading routes: Portuguese reduced Kongo access to Atlantic trade and various kandas attempted to set up their own trading centres,,,,,,,,,,,,,,,FALSE
Sultanate of Bengal,1352,,1352,1352,,1567,,1567,215-215 years,215,Empire,Sultanate,Southern Asia,,Mishra (2016),Taken over by the Mughal Empire,,,Interregnum in 1409 during which Bengal usurped by Hindu chief. Control taken back by Ilyasi in 1442,,,,,,,,,,,,,FALSE
